registration, trailer_type,year,built_for,model_no,chassis_number,wip,mtm_gcm,gvw_atm,tare,brake_valves_type,suspension_type_and_component_part_no,axle,rare_suspension,rare_axle,hub,bearing_inner,bearing_outer,seal,drum,shoe_kit,brake_size,brake_linning,brake_shoe_type,s_cam_bush_kit,s_cam_size_and_part_no,brake_booster_type_and_size,tyre_type_and_size,wheel_type_and_size,landing_legs_type_and_component_part_no,king_pin_type_and_serial_no,rubplate_type_and_component_no,tow_eye_type_and_component_no,draw_bar_type_and_component_no,air_tanks_size_and_type_and_part_no,hoist_type_and_part_no,suspension_cylinders_component_no,ballrace_type_and_part_no,fith_wheel_type_and_part_no,ramps_size_and_component_no,ramps_cylinders,widening_box_component_no,widening_box_cylinder,widening_wings_component_no,widening_wings_cylinder,gooseneck_component_no,gooseneck_cylinder,powerpack, draw_bar_bushes
,"2axle  21' 0"" Dog Flat Top                     (Very 1st Trailer)",74,Ready Mix Concrete,MTE01/74,RRAF21,,,,5970lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,"2axle  21' 0"" Dog Flat Top",74,Firth Concrete,MTE2/74,RRAF21,,,,6200lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,"2axle  21' 0"" Dog Flat Top",74,Firth Concrete,MTE3/74,RRAF21,,,,6200lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,"2axle Dog 16'0""Tipper                          (1st Dog Tipper)",74,Ready Mix Concrete,MTE4/74,RRHT14,,,,7970lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,4451 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,"2axle Dog 16'0""Tipper",74,A.F.Porter,MTE5/74,RRHT14,,,,7970lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,4451 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,2 Axle Trombone Self Steer 32-52'              (1st Self Steer),74,Davies Transport,MTE6/74,RURX51,,,,,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,,,,HE12 & HE5,,,,,,,,,,
,3axle DogTipper,74,A.F.Porter,MTE7/74,RRHT18,,,,4825kg,PBR ,Rubery Owen 8 leaf 1.8m spaced,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,5460 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3R4 Semi LowLoader (Mech  Susp)           (1st Lowloader),75,Waikato Heavy Haulage,MTE1/75,HC3A25,,,"36,000kg",4780kg,RE6 Bendix,Compensating Beam,"15"" Hunton",,,Ten Stud ,"HM218248, HM218210","H212749, KJH212710",CR46305,,,"12-1/4 x 7-1/2""",,,,,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,3R4 Semi LowLoader (Mechanical Susp),75,Waikato Heavy Haulage,MTE2/75,TC3A25,,,"36,000kg",4780kg,RE6 Bendix,Compensating Beam,"15"" Tanner",,,Ten Stud,"K580, K572X","K567A,  K563",CR43691,10 Stud,,"12-1/4 x 6""",TA62/1 ,AX6708 Tanner,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,2 axle  semi Flat Top,75,Taranaki Express Freighters,MTE3/75,RTRS32,,,,,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,"2axle Dog 16'0""Tipper",75,Swap Contractors,MTE4/75,RRHT12,,,,7970lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,4451 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,1 axle semi Flat Top,75,Taranaki Express Freighters,MTE5/75,RTS26,,,,,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,2 Axle Semi Tipper (lyeten)                     (1st Semi Tipper),75,A.F.Porter,MTE6/75,RR2520,,,,,PBR ,Rubery Owen 8 leaf 1.24m spaced,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,"2""",,,,MTE Made,5460 Edbro,,,,,,,,,,,,,
27guw,3R4 Semi LowLoader (Mechanical Susp),75,G.A.Renner,MTE8/75 (18/79),TRS25,,,"36,000kg",4780kg,RE6 Bendix,Compensating Beam,"15"" Rubery Owen",,,Ten Stud ,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,"2axle Dog 20'0""Tipper",75,Maurice Hart Alterd to 3A,MTE9/75,RRHT20 (R3ARF23),,,,7970lb,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,4451 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,3R4 Semi LowLoader (Mechanical Susp),75,Laurent Consruction,MTE10/75,4RC3A25,,,"60,000lb",4780kg,RE6 Bendix,Compensating Beam,"15"" Tanner Alterd from ROR",,,Ten Stud,"HM218248, HM218210",33213,CR46305,21018963 - BD4059 ,AXL117,"12-1/4 x 7-1/2""",,RW9/13/2,21204703,21219341 LH & 21219342 RH,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
21CEH,3R4 Semi LowLoader (Mechanical Susp),75,Frank Ross Ltd,MTE11/75,5RC3A25,,,"60,000lb",4780kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,Ten Stud,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,"2 Axle 24' 0"" Semi Ribbed Tipper",75,G.A.Renner,MTE12/75,PMSHT20,,,"60,000lb",,RE6 Bendix,Moss 8 leaf,"20"" Propar",,,Spoked,,,,,,"16-1/2"" x 7""",,,,,Type 24 ,1000 x 20,,,"2""",,,,MTE Made,70SU Edbro,,,,,,,,,,,,1st Ribbed tipper made,
,3R4 Semi LowLoader (Mechanical Susp),75,Storage And Export,MTE13/75,6RC3A25,,,"60,000lb",4780kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,Ten Stud,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3axle DogTipper,76,J&G Davis,MTE1/76,RSRHT24,,,"38,000lb",5960kg,PBR ,Rubery Owen 8 leaf 1.8m spaced,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,5460 Edbro,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
,2 Axle Semi Lowloader (walking beam),76,Des Davis,MTE2/76,RSRF31,,,"48,00lb",,PBR ,Rubery Owen 8 leaf,"20""  TM Rubery Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,21018963,,"16-1/2"" x 7""",DURON P2001,15200011,,10 spline,Type 24/24,1000 x 20,20 x 6.5,,,,40mm,"9'-0""",MTE Made,,,,HE12/1000 Jost,,,,,,,,,,"1"" Shackle Pins"
31DJA  ( New 55BQZ) ,3R4 Semi Lowloader (Mechanical Susp),76,Hurlstone Earthmovers,MTE3/76,7RC3A25,,,"60,000lb",6330kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
76DJA,2 Axle Semi Lowloader (walking beam),76,Provincial Transport,MTE4/76,1R2A22,,,"48,000lb",,RE6 Bendix,Walking Beam 1800mm,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,,
75DJH,3R4 Semi Lowloader (Mechanical Susp),76,Flowers Transport,MTE5/76,8RC3A25,,,"60,000lb",6330kg,RE6 Bendix,Compensating Beam,"15"" Ruber Owen Rockwell",,,Ten Stud English,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Ten Stud,,"2""",,,,MTE Made,,,,,,,,,,,,,Extra 3' in gooseneck two k/p Positions container locks,
,2 Axle Semi Tilt Deck (Beam Susp),76,W Johnston,MTE6/76,2RT2A26,,,"21,818kg",,RE6 Bendix,"Walking Beam 48""","15"" Ruber Owen Rockwell Spoked  MTE imported ex Aust ",,,3 Spoke,"HM218248, HM218210",33213,CR46305,10 Stud,,"12-1/4 x 7-1/2""","21200780N, 21200781N",E3491,,10 spline,Type 24 ,825 x 15 x 14ply,15 x 6.5 Rim,,"2""",,,,MTE Made,"23"" C/C",,,,,,,,,,,,,
